drug_no,drug_name
A003633100,"BENDA TABLETS ""Y.S."
A003642100,CAPILAN CAPSULES
A003648100,ASMETHOL S.C. TABLETS
A003654100,PROGIN CAPSULES
A003669100,"YIDOLI TABLET ""YUNG CHI"
A003677100,"SILICON TABLETS 40MG ""CHIU PO"
A003684100,NEO-VIBON-S S.C. TABLETS 50MG
A003686100,"TRIENZYMES CAPSULES ""KINGDOM"
A003687100,DOXYCYCLINE HCL CAPSULES
A003696100,LI-CILLIN CAPSULES 500MG
A003697417,"TETRACYCLINE EYE OINTMENT ""OASIS"
A003699212,DEXARON INJECTION 1MG
A003699229,DEXARON INJECTION 1MG
A003700212,DEXARON INJECTION 2MG
A003700229,DEXARON INJECTION 2MG
A003703100,"EPILON TABLETS ""YUNG SHIN"
A0037031G0,"EPILON TABLETS ""YUNG SHIN"
A003704100,"ULTA TABLETS ""PANBIOTIC"
A003705219,"KANAMYCIN INJECITON ""TAH-AN"
A003705229,"KANAMYCIN INJECITON ""TAH-AN"
A003706100,FLUGESIC TABLETS
A003712212,"PHYLLIN INJECTION ""ASTAR"
A003715271,"LEUCOMYCIN INTRAVENOUS INJ 400MG ""T.T.Y"
A003727100,HITUS CAPSULES 25 MG
A003739100,A.M.D. TABLETS
A003742100,"CLOBRATE CAPSULES ""JOHNSON"
A003754100,CHIAMYLON TABLETS
A003757100,FEBICON S.C. TABLETS
A003759100,INTEAN CAPSULES
A003764100,"LILIAN TABLETS ""CURIE"
A003768100,SULFADIMETHOXINE TABLETS
A003773100,"SWEICON TABLETS ""YUNG CHI"
A003775100,"ERYTHROMYCIN CAPSULES ""YUNG SHIN"
A003777100,TZUCHIEH S.C. TABLETS
A003780100,"CHLORAMPHENICOL CAPSULES 250MG ""CHIPHAR"
A003782209,"CHLORPHENIRAMINE INJECTION  ""ASTAR"
A003786209,"ERGOMETRIN INJECTION ""ASTAR"
A003792100,"TOLBUTAMIDE TABLETS ""R.S.P.P."
A003793100,"ASCORBIC ACID TABLETS ""VPP"
A003794100,"EPHEDRINE SULFATE CAPSULES ""VPP"
A003796229,"AMINOPHYLLINE INJECTION ""VPP"
A003797100,"COMBIGEL TABLETS ""VPP"
A003817255,MINOCIN INTRAVENOUS INJECTION 100MG
A003828100,GINBO TABLETS 2MG
A003840100,"GERSKIN TABLETS ""YUNG SHIN"
A003851100,RIPOLIN CAPSULES 150MG
A003852100,RIPOLIN CAPSULES 300MG
A003853100,"SANTININ TABLETS ""CHI SHENG"
A003864209,"RESERPINE INJECTION 2.5MG/ML ""VPP"
A003867209,LIHOSIN INJECTION
A003871417,ERYTHROMYCIN EYE OINTMENT
A003873100,"TETRACYCLINE HCL CAPSULES ""CENTRAL"
A003876100,SULVITEN S.C. TABLETS
A003881209,DEXAMETHASONE INJECTION
A003884100,PROTORIN ENTERIC-COATED TABLETS
A003893100,"NITROFURANTOIN TABLETS 100MG ""R.S.P.P"
A003898229,"KCL INJECTION ""C.C.P."
A003898238,"KCL INJECTION ""C.C.P."
A003902100,SUSWUN TABLETS
A003903100,PELION TABLETS
A003911100,"AMINOPHYLLINE TABLETS 200MG ""VPP"
A003912100,BAUSUTONERN CAPSULES
A003913100,PIBAUWEICON TABLETS SOLUTION
A003933100,NIROPYDIN S.C. TABLETS
A003941421,NARPINA EYE DROPS
A003942421,"HYDROCORTISONE ACETATE OPHTHALMIC SUSPENSION 0.5% ""C.M."
A003943100,"SPARKAN CAPSULES ""VEI MIN"
A003948417,ATROPINE EYE OINTMENT
A003953212,MELERMINS INJECTION
A003954212,"LIDOCAINE HCL INJECTION ""PANBIOTIC"
A003956100,"CEPHALEXIN CAPSULES 250MG ""T.T."
A003959500,FULIZIN VAGINAL SUPPOSITORIES
A003967229,"CYANOCOBALAMIN INJECTION ""R.S.P.P."
A003968421,SULOMIN EYE DROPS
A003968429,SULOMIN EYE DROPS
A003969417,CODEMYCIN EYE OINTMENT
A003976100,"BISMUTH SUBCARBONATE TABLETS 324MG ""VPP"
A003994421,CON-N EYE-DROPS
A004000209,"DASMA INJECTION ""CHI SHENG"
A004001421,PILOCARPINE EYE DROPS 4%
A004042100,"LICOTIN TABLETS ""YUNG CHI"
A004044100,"THIAMINE HCL TABLETS ""VPP"
A004048221,"TRACO SUSPENSION 1% ""CHI SHENG"
A004049221,"TRACON ""CHI SHENG"
A004052100,JOHNSTAL CAPSULES
A004068429,SELEAR EYE DROPS
A004068435,SELEAR EYE DROPS
A004070321,NILSTAT TOPICAL CREAM
A004073221,"STACORT-A INJECTION  10MG ""STANDARD"
A004073229,"STACORT-A INJECTION  10MG ""STANDARD"
A004073299,"STACORT-A INJECTION  10MG ""STANDARD"
A004074100,"AMPICILLIN CAPSULES 500MG ""N.K."
A004099100,"MECOSON TABLETS 15MG ""H.L."
A004101100,"NICOTINIC ACID TABLETS ""VPP"
A004102100,"NICOTINAMIDE TABLETS ""VPP"
A004115100,"GENCAN S.C. TABLETS ""YUNG CHI"
A004122100,"BAOGIN TABLETS 2MG ""BOWLIN"
A004151209,"KANAMYCIN SULFATE INJECTION ""SINTON"
A004152100,DEXSONE TABLETS 0.5MG
A004156417,"VITA A EYE OINTMENT ""OASIS"
A004163100,ESCIN S.C. TABLETS
A004166421,COLSAMIN EYE DROPS
A004176100,"TRIASYN B S.C. TABLETS ""R.S.P.P."
A004180100,"AMPICILLIN CAPSULES ""ASTAR"
A004188417,F.A.D. EYE OINTMENT
A004189100,"RESERPINE TABLETS ""VPP"
A004190100,"AMINOPHYLLINE AND PHENOBARBITAL TABLETS ""RSPP"
A004194100,LUNGING TABLETS
A004200100,"ORETIN S.C. TABLETS ""CHIU PO"
A004205100,WEBOWELL TABLETS
A004211100,"MULTIVITAMIN S.C. TABLETS ""CENTRAL"
A004219100,"BISLAN TABLETS ""YUNG SHIN"
A004220100,"WEIFU TABLETS ""YUNG SHIN"
A004221100,LICA TABLETS
A0042211G0,LICA TABLETS
A004222100,BETA-DEXALONE TABLETS
A004223100,"SULFISOMEZOLE TABLETS ""R.S.P.P."
A004229100,ENTHACIN CAPSULES
A004247100,"ERYTHROMYCIN CAPSULES ""CENTROL"
A004249100,DYNIN TABLETS
A004255100,"ERYTHROMYCIN ESTOLATE CAPSULES ""ASTAR"
A004256100,"CHLORAMPHENICOL CAPSULES ""ANSHIN"
A004263100,ANTICOUGH CAPSULES
A004265100,TONILIN CAP. 250MG
A004266100,"NAGOMIN TABLETS (NALIDIXIC ACID)""M.T."
A004269212,"PYRABITAL INJECTION ""ASTAR"
A004274100,"FUTYSOL S.C. TABLETS ""CHUI PO"
A004276100,EAZIDE TABLETS
A0042761G0,EAZIDE TABLETS 
A004280100,DICLOCIL CAPSULES 250MG
A004287100,POTON CAPSULES
A004300100,"TAWEGEN TABLETS ""YUNG CHI"
A004301500,"METRODIN SUPPOSITORIES ""YUNG CHI"
A004302100,PUTELOME S.C. TABLETS
A004305100,SUDOLEM S.C. TABLETS
A004306100,ADREBLOCK TABLETS 40MG
A004321100,"WARROWSOL CAPSULES ""KINGDOM"
A004322229,"VITAMIN B COMPLEX INJECTION ""VPP"
A004326100,TEANLANG TABLETS
A004334100,RIMANCIN CAPUSLES
A004347209,"VITAMIN K1 INJECTION ""N.K."
A004355212,NICOXAN INJECTION
A004360100,DEXTROMETHORPHAN TABLETS
A004385100,DECOLIN TABLETS
A004393100,METROCYCLINE-P CAPSULES
A004404100,STUGEIN TABLETS
A004411100,TUBAX S.C. TABLETS
A004414100,"SULOMIN S.C. TABLETS ""YUNG CHI"
A004417100,BULISIKANG-B EX S.C. TABLETS
A004423100,ESTROMON S.C. TABLETS
A004441100,"DEAN TABLETS 5MG ""YUNG CHI"
A004459109,"CHLORAMPHENICOL PALMITATE GRANULES 250MG/GM ""SINTON"
A004459177,"CHLORAMPHENICOL PALMITATE GRANULES 250MG/GM ""SINTON"
A004459199,"CHLORAMPHENICOL PALMITATE GRANULES 250MG/GM ""SINTON"
A004461100,ANTICOUGH TABLETS
A004462100,"DEXAMETHASONE TABLETS ""ASTAR"
A004463212,SINTHATO INJECTION
A004466297,"TRICILLIN INJECTION ""VPP"
A004467210,"PROCAINE PENICILLIN G FOR AQUA INJECTION 1,500,000 UNITS ""VPP"
A004475100,"PREDNISOLONE TABLETS ""ASTAR"
A004484100,"SOLIKIN CAPSULES ""YUNG SHIN"
A004488421,BISMING EYE DROPS
A004489417,COLIMYCIN EYE OINTMENT
A004490417,CHLORAMPHENICOL OPHTHALMIC OINTMENT
A004491417,ERYSMYCIN EYE OINTMENT
A004492421,ERYSMYCIN EYE DROPS
A004495238,MORIAMIN S-2 INJECTION
A004495263,MORIAMIN S-2 INJECTION
A004506100,FUCON TABLETS
A004514100,DUOCIDE TABLETS
A004517100,LI ERH KO S.C. TABLETS
A004533212,"SULPYRIN INJECTION ""METRO"
A004539157,"BOINTUSSIN SOLUTION 20MG/ML (GUAIFENESIN)""BOWLIN"
A004565209,"DECAMIN INJECTION 4MG/ML ""ORIENTAL"
A004565229,"DECAMIN INJECTION 4MG/ML ""ORIENTAL"
A004568100,STOPAIN CAPSULES
A004574100,WINDOL TABLETS
A004575100,"SECOBARBITAL SODIUM CAPSULES ""VPP"
A004587238,"DEXTRON V INJECTION ""N.K."
A004643100,"XATONE E.C. TABLETS ""F.Y."
A004648100,DECARON TABLETS
A004649321,"LI KA LANG OINTMENT ""H.S."
A004649329,"LI KA LANG OINTMENT ""H.S."
A004649372,LI KA LANG OINTMENT“H.S.”
A004649399,"LI KA LANG OINTMENT ""H.S."
A004662100,CHICHESON TABLETS
A004670100,BOWLIN-C TABLETS
A004675100,RIF CAPSULES 150MG
A004676100,RIF CAPSULES 300MG
A004678238,MORIAMIN-2 INJECTION
A004678263,MORIAMIN-2 INJECTION
A004678277,MORIAMIN-2 INJECTION
A004687100,RIFAMTIBI CAPSULES 300MG
A004692100,"COPALIN TABLETS (CHLORMEZANONE) ""M.T."
A004703100,"CHLORDIAZEPOXIDE HCL CAPSULES 10MG ""VPP"
A004704100,"CHLORPHENIRAMINE TABLETS ""ASTAR"
A004715100,"DIABETIN TABLETS ""Y.S."
A0047151G0,"DIABETIN TABLETS ""Y.S."" "
A004720100,PAIDERTON TABLETS
A004722100,"CYPRO TABLETS 4MG ""F.Y."
A004737100,"PILIAN TABLETS ""Y.S."
A0047371G0,"PILIAN TABLETS ""Y.S."
A004738100,SULISTAN S.C. TABLETS
A004739100,"CHISOU CAPSULES ""H.C.T."
A004754100,RIFAMTIBI CAPSULES 150MG
A004755230,"JUPITER INJECTION 250MG ""PANBIOTIC"
A004755238,"JUPITER INJECTION 250MG ""PANBIOTIC"
A004761329,SHIELIN POWDER
A004763100,HONTAN TABLETS
A004766100,"LISU TABLETS ""H.S."
A004771238,"MAGNESIUM SULFATE INJECTION ""TBC"
A004771263,"MAGNESIUM SULFATE INJECTION ""TBC"
A004775100,"VALETA TABLETS ""ASTAR"
A004776229,"AMINOPHYLLINE INJECTION ""ASTAR"
A004778100,"LI SHIH NING CAPSULES 25MG (INDOMETHACIN) ""C.H."
A004807100,"ANLISU TABLETS ""KINGDOM"
A004811209,"SODIUM PHENOBARBITAL INJECTION 100MG/ML ""VPP"
A004813100,"ASPIRIN TABLETS ""VPP"
A004815100,"DIAZEPAM TABLETS ""ASTAR"
A004816100,"TOCHUN TABLETS ""Y.S."
A004817100,"TORCOL TABLETS ""Y.S."
A004820100,"CHITOU TABLETS ""Y.S."
A004823100,"CHUNCOTOL TABLETS ""Y.S."
A004828100,DECHIMIN TABLETS
A004829100,"ISETIN S.C. TABLETS ""Y.S."
A004835100,"ECHICON TABLETS ""Y.S."
A004838100,"PISULOU CAPSULES ""Y.S."
A004842100,"SULFADIAZINE TABLETS ""T.S."
A004852212,"COUGSTIN INJECTION ""ASTAR"
A004853209,"TRILIZIN INJECTION ""ASTAR"
A004857100,"ZIKAN TABLETS ""LITA"
A004864212,"LIDOCAINE HCI INJECTION 2% ""CHI SHENG"
A004864238,"LIDOCAINE HCI INJECTION 2% ""CHI SHENG"
A004864299,LIDOCAINE HCL INJ. 2%
A004865209,VITAMIN K1 INJECTION
A004867100,"YENPITIN TABLETS ""Y.S."
A004891240,VARIDASE FOR LOCAL AND TOPICAL USE
A004891255,VARIDASE FOR LOCAL AND TOPICAL USE
A004892209,VARIDASE INTRAMUSCULAR INJECTION
A004892212,VARIDASE INTRAMUSCULAR INJECTION
A004899100,"NARIZIN TABLETS ""JOHNSON"
A0048991G0,"NARIZIN TABLETS ""JOHNSON"
A004904100,TRANS CAPSULES
A004917421,ANGEL EYE DROPS
A004919100,BAKTAR TABLETS 400MG
A0049191G0,BAKTAR TABLETS 400MG 
A004921100,"CHLORAMINE TABLETS ""BOWLIN"
A004928321,BETADERM CREAM
A004928329,BETADERM CREAM
A004928372,BETADERM CREAM
A004928399,BETADERM CREAM
A004932238,LAMVITA INJECTION
A004933100,"FUWEININ CAPSULES ""Y.S."
A004941100,"YUANBAO S.C. TABLETS ""Y.S."
A004942209,"PROGESTERONE INJECTION 25MG ""PANBIOTIC"
A004942221,"PROGESTERONE INJECTION 25MG ""PANBIOTIC"
A004942229,"PROGESTERONE INJECTION 25MG ""PANBIOTIC"
A004951209,"ATROPINE SULFATE INJECTION ""SINTONG"
A004957100,KANFUYEN CAPSULES
A004963100,"TETRACYCLINE HCL CAPSULES ""C.C.P."
A0049631G0,"TETRACYCLINE HCL CAPSULES ""C.C.P."
A004973321,RINDERON-VA CREAM 0.06%
A004974416,EYE RINDERON-A OINTMENT
A004975416,EYE RINDERON-A SOLUTION
A004975421,EYE RINDERON-A SOLUTION
A004977421,YEN SAN EYE DROPS
A004977429,YEN SAN EYE DROPS
A004979209,"PHENOTROPIN INJECTION ""ASTAR"
A004995100,CEPHALIN CAPSULES
A0049951G0,CEPHALIN CAPSULES 
A004997277,"SIUNITOL INJECTION ""SIU GUAN"
A005021100,"VITAMIN B2 TABLETS ""JEN SHENG"
A005022100,"NASELIN TABLETS ""Y.S."
A005024100,"ELINE S.C. TABLETS ""Y.S."
A005026100,"SUIL S.C. TABLETS ""Y.S."
A005034100,OMNIN S.C. TABLETS
A005040100,"PENTHO S.C. TABLETS ""YUNG CHI"
A005041100,NICOXAN TABLETS
A005045100,"YUNGISUMIN TABLETS  ""CHEN TA"
A0050451G0,YUNGISUMIN TABLETS   
A005051100,NACID TABLETS
A005054100,INDOCINE CAPSULES
A005056100,"GERI-VITA TABLETS ""VPP"
A005062100,Kidolex  Capsules  250mg (Cephalexin)
A005075100,PANAMAX TABLETS 500MG (ACETAMINOPHEN)
A005090100,"ZUCAIN TABLETS ""CURIE"
A005097100,FETEFU TABLETS
A005111100,FLOPIN TABLETS
A005118209,"PROGESTERONE INJECTION 25MG ""METRO"
A005135100,TZUCHUNAN TABLETS
A005136100,"BALAMIN S.C. TABLETS ""JEN SHENG"
A005185100,"TRIAMCINOLONE TABLETS ""JEN SHENG"
A005191100,KANGCHINMIN S.C. TABLETS
A005200100,PERSINE S.C. TABLETS 25MG
A005203100,"CEPHALEXIN CAPSULES 250MG ""CHIPHAR"
A005225100,COLCHICINE TABLETS
A005227100,"PREDNISOLONE TABLETS ""DAU CHI"
A005228100,"ZUNCHIN CAPSULES ""DAU CHI"
A005232100,"COLD CAPSULES ""M.T."
A005243219,KANAMYCIN INJECTION
A005243238,KANAMYCIN INJECTION
A005243299,KANAMYCIN INJECTION
A005247100,"METHYLEPHEDRINE HCL TABLETS ""ASTAR"
A005249100,"CYANTON CAPSULES ""Y.S."
A005250100,LINAGAN TABLETS 25MG
A005266100,"HYDRALAZINE HCL TABLETS ""JEN SHENG"
A005272100,"HUEI YI CAPSULES ""J.H."
A005278209,"ERGOMETRINE MALEATE INJECTION 0.2MG ""SINTON"
A005285100,AZO-NEGACIDE TABLETS
A005286100,"DEKESU TABLETS 0.5MG (DEXAMETHASONE)""F.S."
A005290100,EUROID TABLETS
A005291100,"CHLORPHENIRAMINE TABLETS ""METRO"
A005300100,"PHENOBARBITAL TABLETS 32MG ""VPP"
A005305100,SATAMOL TABLETS
A005313100,"TRANTAL FILM COATED TABLETS ""YUNG SHIN"
A005321100,"METOYUI CAPSULES ""DAU CHI"
A005322100,COMPOUND OPIUM AND GLYCYRRIZA MIXTURE TABLET
A005323238,CHLORAMPHENICOL INJECTION
A005324209,"DELTONIN INJECTION ""N.K."
A005324221,"DELTONIN INJECTION ""N.K."
A005330100,EGALIN TABLETS
A005344209,"TUTANIN INJECTION ""SINTON"
A005352100,"VITACOMPLEX B S.C. TABLETS ""F.S."
A005353100,HICONCIL CAPSULES 500MG
A005354100,HICONCIL CAPSULES 250MG
A005359100,"METRODIN S.C. TABLETS ""YUNG CHI"
A005365109,"TETRACYCLINE GRANULES ""ASTAR"
A005365177,"TETRACYCLINE GRANULES ""ASTAR"
A005381100,"SHUTON CAPSULES ""N.W."
A005391100,"SHIMIN TABLETS ""N.W."
A005412100,"MEDISOL TABLETS 15MG ""Y.K."
A005414100,"WNSHINLIEN S.C. TABLETS 12.5MG (DIPYRIDAMOLE)""F.S."
A005418100,"O.D.K. CAPSULES ""ORIENT"
A005420100,"RONPILINE TABLETS ""DAU CHI"
A005431100,"NALIXIN TABLETS ""Y.S."
A005435100,RHEUMASTON CAPSULES
A005443100,RIPOLIN CAPSULES 450MG
A005445100,"PARAFLEX CAPSULES 500MG ""PANBIOTIC"
A005446100,"PARAFLEX CAPSULES 250MG ""PANBIOTIC"
A005454100,"AMCICORT TABLETS ""N.W."
A005482109,"CHLORAMPHENICOL PALMITATE GRANULES ""ASTAR"
A005482199,"CHLORAMPHENICOL PALMITATE GRANULES ""ASTAR"
A005483212,"DIPROPHYLLIN  INJECTION ""SINTON"
A005491100,"AMPICILLIN CAPSULES 500MG ""PRINCE"
A005495100,DOINMYCIN CAPSULES
A005508100,"GLARE CAPSULES ""F.Y."
A005515100,"AMINOPHYLLINE TABLETS ""LITA"
A005517100,INDOSUN E.C. TABLETS
A005519100,"CHINCOUGH CAPSULES ""PANBIOTIC"
A005521421,CODEMYCIN EYE DROPS
A005575316,ESPERSON OINTMENT 0.25%
A005575321,ESPERSON OINTMENT 0.25%
A005575343,ESPERSON OINTMENT 0.25%
A005592317,"CHLORTETRACYCLINE OINTMENT (OPHTHALMIC) ""UNION"
A005592417,"CHLORTETRACYCLINE OINTMENT (OPHTHALMIC) ""UNION"
A005592421,"CHLORTETRACYCLINE OINTMENT (OPHTHALMIC) ""UNION"
A005593209,EREMON INJECTION
A005603221,GLUCAL BLACK INJECTION
A005603243,GLUCAL BLACK INJ.
A005612100,BUTOSAN S.C. TABLETS
A005616229,"DEXAMETHASONE-21 INJECTION 1MG/ML""C.Y."
A005627229,"OXYTETRACYCLINE HCL 50 MG/ML I.M.INJECTION ""C.Y."
A005628221,"PHENAMINCAL-B6 INJECTION ""C.Y."
A005628229,"PHENAMINCAL-B6 INJECTION ""C.Y."
A005646100,"WEISKON S.C. TABLETS ""H.C.T."
A005661500,OMNIN VAGINAL TABLETS
A005662135,SIMAGAL SUSPENSION
A005663100,"TEALIGEN CAPSULES ""M.A."
A005664100,FLUFEMIN CAPSULES
A005669100,"AMINOPHYLLINE TABLETS ""ASTAR"
A005673100,LIVOCTAN S.C. TABLETS
A005691100,"CAFETON TABLETS ""Y.K."
A005698100,URIAN TABLETS
A005701100,LASPIN TABLETS
A005702100,SUNCHLOMYCIN CAPSULES
A005703100,NEWMOMYCIN CAPSULES
A005704100,ETHROMYCIN-S CAPSULES
A005708100,BROWN MIXTURE TABLETS
A005710100,"RIBOFLAVIN TABLETS ""ASTAR"
A005711100,"PYRIDOXINE HCL TABLETS ""ASTAR"
A005712100,"DIPROPHYLLIN TABLETS ""ASTAR"
A005716100,"PRINCEMYLON CAPSULES 500MG ""PRINCE"
A005721100,"SWECON TABLETS ""Y.S."
A005723100,"PYRIDOXINE HCL TABLETS ""JEN SHENG"
A005724100,"PHYTOMENADIONE TABLETS ""JEN SHENG"
A005737100,VITALUX TABLETS
A005749100,MEDISOL CAPSULES 30MG
A005753212,"THIAMINE HYDROCHLORIDE INJECTION 50MG ""ASTAR"
A005757100,CHIERHSIN TABLETS 10MG
A005773100,TRIACT TABLETS
A005789100,"FUSTON TABLETS 100MG ""Y.S."
A005807100,"LONFLEX CAPSULES ""UNION"
A005810100,ASTHONE TABLETS
A005811100,STROCAIN TABLETS
A0058111G0,STROCAIN TABLETS
A005812100,HOMOCLOMIN TABLETS
A0058121G0,HOMOCLOMIN TABLETS
A005813100,SOLAXIN TABLETS
A0058131G0,SOLAXIN TABLETS
A005827100,"AMINOPHYLINE TABLETS ""JEN SHENG"
A005833100,TANCOSIL TABLETS 200MG
A005838100,VITAMIN B COMPLEX TABLETS
A005852209,INJECTIO APOMORPHINAE HYDROCHLORIDI
A005855209,INJECTIO ALKALOIDI OPII HYDROCHLORIDI ET SCOPOLAMINAE
A005857100,CODEINE PHOSPHATE TABLETS 15MG
A005858100,PETHIDINE HYDROCHLORIDE TABLETS 50 MG
A005859100,TABELLAE MISTURAE GLYCYRRHIZAE COMPOSITAE
A005860100,MORPHINE HYDROCHLORIDE TABLETS 10MG
A005862209,INJECTIO MORPHINAE ET ATROPINAE
A005863117,TINCTURA OPII CAMPHORATA
A005863177,CAMPHORATED OPIUM TINCTURE
A005863199,CAMPHORATED OPIUM TINCTURE
A005864209,INJECTIO ALKALOIDI OPII HYDROCHLORIDI 20MG
A005865100,CODEINE PHOSPHATE TABLETS 30MG
A005868148,PULVIS OPII ET IPECACUANHAE
A005868155,PULVIS OPII ET IPECACUANHAE
A005868199,PULVIS OPII ET IPECACUANHAE
A005869117,OPIUM TINCTURE
A005869155,OPIUM TINCTURE
A005869199,OPIUM TINCTURE
A005874209,PETHIDINE HYDROCHLORIDE INJECTION 50MG/ML
A005877100,TABELLAE NOSCAPINAE HYDROCHLORIDUM 15 MG
A005879117,MISTURA GLYCYRRHIZA COMPOSITA
A005879118,MISTURA GLYCYRRHIZA COMPOSITA
A005879177,MISTURA GLYCYRRHIZA COMPOSITA
A005879199,MISTURA GLYCYRRHIZA COMPOSITA
A005882100,TABELLAE PAPAVERINAE HYDROCHLORIDI 30MG
A005886209,MORPHINE HYDROCHLORIDE 20MG/ML
A005888100,TABELLAE OPII ET IPECACUANHAE 0.3 GM
A005889209,CODEINE PHOSPHATE INJECTION 15MG/ML
A005891209,MORPHINE HYDROCHLORIDE INJECTION 10MG/ML
A005895118,COMPOUND MIXTURE OF GLYCYRRHIZA
A005896209,"IMPERAN INJECTION ""N.K."
A005896212,"IMPERAN INJECTION ""N.K."
A005925100,MERISLON TABLETS 6MG (BETAHISTINE MESILATE)
A0059251G0,MERISLON TABLETS 6MG (BETAHISTINE MESILATE)
A005936100,SETON TABLETS 100MG (ETHAVERINE)
A005945100,"DEXTROMETHORPHAN TABLETS ""JEN SHENG"
A005949500,INTOCIN SUPPOSITORIES
A005952100,PROVIRON CAPSULE
A005953100,HIJUVEN CAPSULES
A005954100,COSPANON CAPSULES
A0059541G0,COSPANON CAPSULES
A005986100,"MENIPERAN TABLETS 5MG ""M.T."" (METOCLOPRAMIDE)"
A005987100,INOLIN TABLETS 3MG
A005989100,INDOCAPS CAPSULES
A005995209,CAPRONE INJECTION
A006003100,"ERGONOVINE MALEATE S.C. TABLETS ""Y.S."
A006006100,PONSTAL CAPSULES
A006081212,METOPRAN INJECTION
A006086317,FLUO A OINTMENT 0.03% (FLUOCINOLONE)
A006087100,PITHATE TABLETS
A006094100,CYCLAN CAPSULES
A006097100,TETRACYCLINE HCL CAPSULES
A006124238,"SORBITOL INJECTION 20% ""CHI SHENG"
A006125277,"SORBITOL INJECTION 5% ""CHI SHENG"
A006130100,"COLD TABLETS ""N.M."
A006171100,"HEPI CAPSULES ""H.C.T."
A006172100,"CHLORPHENIRAMINE MALEATE TABLETS ""S.S.P."
A006187417,COLSAMIN EYE OINTMENT
A006194100,PRONALOL TABLETS
A006228100,PENAZOL S.C. TABLETS
A006229100,SOLMATIN TABLETS
A006230100,HELFATON S.C. TABLETS
A006232100,"MATALMIN TABLETS 200MG ""W.S."
A006233100,ENTERAN S.C. TABLETS
A006235109,POWDERED OPIUM
A006235177,POWDERED OPIUM
A006235199,POWDERED OPIUM
A006236100,BUSHITON S.C. TABLETS
A006245100,KINLIZONE TABLETS
A006271100,FUCOLE PARAN TABLETS
A006299100,NETHILINE S.C. TABLETS
A006316100,CENTICON TABLETS
A006318100,CENTRARIN TABLETS
A006344100,BUSTON S.C. TABLETS
A006345100,"INDETOLE S.C. TABLETS ""Y.S."
A006347100,"RIBOFLAVIN TABLETS 10MG ""S.S.P."
A006352100,EFFORCARDIA TABLETS
A006354100,WEI E S.C. TABLETS
A006373100,HEMAGEN CAPSULES
A006378209,JNFLIN INJECTION 1GM
A006388100,"URIDINE S.C. TABLETS ""N.W."
A006393100,"PYRIDOXINE HCL TABLETS 10MG ""S.S.P."
A006394100,PYRIDAMOLE S.C. TABLETS
A006397100,EDEMALIN TABLETS
A006423500,REFLOX SUPPOSITORIES
A006451100,RECORTAN S.C. TABLETS
A006477100,"JICHUAN TABLETS ""N.M."
A006485500,LYBRILE SUPPOSITORIES
A006486100,"CYPROHEPTADINE TABLETS 2MG ""F.S."
A006501100,"SCHENTESE TABLETS ""H.H.P."
A006512277,MANNITOL INJECTION 10%
A006514277,2.5% DEXTROSE IN 0.45% SALINE
A006538100,BETAMETHASONE TABLETS
A006543100,"PREDNISOLONE TABLETS 5MG ""CHEN TA"
A006551100,"NIRAMINE TABLETS 4MG ""CHEN TA"" (CHLORGHENIRAMINE MALEATE)"
A006552100,ALLERMIN TABLETS 4MG
A006553100,"ALUMINUM HYDROXIDE DRIED GEL TABLETS ""HONTEN"
A006554100,"ERYTHROMYCIN CAPSULES 250MG ""HONTEN"
A006558100,NITOX CAPSULES
A006560100,TONTI CAPSULES
A006562100,BRONCHODIL TABLETS
A006567100,"DIAZEPAM TABELTS 5MG ""F.S."
A006568100,"NALIDIXIC ACID TABLETS 250MG ""F.S."
A006571500,"INDOCAPS SUPPOSITORY ""N.W."
A006572277,YEIAMIN-X INJECTION
A006574100,WAN RIH NIN CAPSULES
A006598100,HORM CAPSULES
A006602100,"MULTI-VITAMIN S.C. TABLETS ""C.M."
A006611329,NEOMYCIN OINTMENT
A006611340,NEOMYCIN OINTMENT
A006611342,NEOMYCIN OINTMENT
A006611372,NEOMYCIN OINTMENT
A006611399,NEOMYCIN OINT.
A006613212,"METORAMIN INJECTION ""T.S."
A006615100,"ERYTHROMYCIN ESTOLATE CAPSULES ""METRO"
A006616209,"SUNAMON INJECTION ""ASTAR"
A006618100,ZITHINE TABLETS
A006629100,TINTEN TABLETS 500MG
A006638100,CHINCHEN TABLETS
A006645100,"METHYLEPHEDRINE TABLETS ""TEM CPARP"
A006649100,"KRECIN TABLETS ""Y.S."
A006677100,VALEMATE TABLETS 10 MG
A006678209,"SUNAMON DEPOT INJECTION ""ASTAR"
A006691100,"UCALON TABLETS 0.5MG ""CHEN TA"" (DEXAMETHASONE)"
A006695100,MELLERIN S.C. TABLETS
A006696100,"DICYCLOMINE TABLETS ""C.T."
A006697100,"GLIBENCLAMIDE TABLETS ""C.T."
A006698100,LONGCORT TABLETS
A006702100,LON DVITA-E S.C. TABLETS
A006705100,MINIPRESS TABLETS 2MG
A006706100,MINIPRESS TABLETS 1MG
A006747100,CEPHALEXIN CAPSULES
A0067471G0,CEPHALEXIN CAPSULES
A006749209,LONGCORT INJECTION
A006761100,"TRIZYLASE CAPSULES ""BOWLIN"
A006774212,BUTONSAN INJECTION
A006783212,"JNLINAMIN INJECTION ""C.Y."
A006784212,"VITAMIN B-COMPLEX & C INJECTION ""C.Y."
A006787277,"CELODIN INJECTION 500 MG ""CHI SHENG"
